productId|price|saleEvent|rivalName|fetchTS
82545658|399.73|Special|VistaCart.com|2017-05-11 15:39:30
82545658|388.52|Regular|ShopYourWay.com|2017-05-11 16:09:43
82545658|388.52|Sale|MarketPlace.com|2017-05-11 16:07:29
43157024|1348.73|Regular|VistaCart.com|2017-05-11 15:58:06
43157024|1348.73|Special|ShopYourWay.com|2017-05-11 15:44:22
43157024|1323.29|Daily|MarketPlace.com|2017-05-11 15:53:03
36130457|908.57|Daily|VistaCart.com|2017-05-11 15:39:01
36130457|890.75|Regular|ShopYourWay.com|2017-05-11 15:48:39
63786748|2094.44|Special|VistaCart.com|2017-05-11 15:49:53
45442374|2441.16|Sale|VistaCart.com|2017-05-11 15:51:42
45442374|2367.93|Sale|ShopYourWay.com|2017-05-11 16:07:06
16171200|4564.34|Special|VistaCart.com|2017-05-11 15:43:06
16171200|4697.28|Regular|ShopYourWay.com|2017-05-11 16:05:40
16171200|4520.03|Sale|MarketPlace.com|2017-05-11 15:45:30
16171200|4830.23|Daily|RealValue|2017-05-11 15:54:12
16171200|4254.14|Special|Gypsy|2017-05-11 15:55:41
20781213|803.36|Regular|VistaCart.com|2017-05-11 15:51:13
20781213|772.46|Sale|ShopYourWay.com|2017-05-11 16:11:35
20781213|834.26|Regular|MarketPlace.com|2017-05-11 15:56:24
41835146|3037.71|Daily|VistaCart.com|2017-05-11 16:00:06
41835146|2870.50|Sale|ShopYourWay.com|2017-05-11 15:36:38
41835146|2898.37|Regular|MarketPlace.com|2017-05-11 15:40:44
58876052|2558.78|Sale|VistaCart.com|2017-05-11 15:51:13
16525443|362.76|Special|VistaCart.com|2017-05-11 15:58:27
16525443|362.76|Special|ShopYourWay.com|2017-05-11 15:39:08
83844043|917.31|Sale|VistaCart.com|2017-05-11 15:37:22
83844043|989.25|Special|ShopYourWay.com|2017-05-11 16:10:27
83844043|953.28|Regular|MarketPlace.com|2017-05-11 15:45:11
83844043|989.25|Daily|RealValue|2017-05-11 15:48:05
65737403|1513.78|Special|VistaCart.com|2017-05-11 16:03:18
65737403|1601.96|Daily|ShopYourWay.com|2017-05-11 15:41:25
65737403|1528.48|Daily|MarketPlace.com|2017-05-11 15:43:37
51386265|3252.90|Special|VistaCart.com|2017-05-11 15:58:38
48731004|3197.32|Regular|VistaCart.com|2017-05-11 15:55:46
48731004|3197.32|Regular|ShopYourWay.com|2017-05-11 15:59:42
45088454|250.54|Sale|VistaCart.com|2017-05-11 15:48:08
81273185|1415.45|Regular|VistaCart.com|2017-05-11 15:57:36
81273185|1588.77|Regular|ShopYourWay.com|2017-05-11 15:52:46
81273185|1473.23|Special|MarketPlace.com|2017-05-11 15:50:50
81273185|1415.45|Daily|RealValue|2017-05-11 15:36:48
38060562|1759.88|Special|VistaCart.com|2017-05-11 15:37:03
38060562|1879.48|Regular|ShopYourWay.com|2017-05-11 15:58:51
38060562|1828.22|Regular|MarketPlace.com|2017-05-11 15:47:22
30254830|4040.14|Special|VistaCart.com|2017-05-11 16:04:41
30254830|3957.69|Regular|ShopYourWay.com|2017-05-11 15:59:59
76161074|5003.80|Sale|VistaCart.com|2017-05-11 15:50:40
76161074|5292.49|Sale|ShopYourWay.com|2017-05-11 15:41:24
88824453|2033.45|Sale|VistaCart.com|2017-05-11 15:52:22
88824453|2154.25|Daily|ShopYourWay.com|2017-05-11 16:06:35
62057556|3058.19|Regular|VistaCart.com|2017-05-11 15:42:04
62057556|2944.93|Regular|ShopYourWay.com|2017-05-11 15:53:43
24675300|4273.41|Daily|VistaCart.com|2017-05-11 16:09:20
24675300|4709.47|Sale|ShopYourWay.com|2017-05-11 15:54:25
18023802|4771.04|Regular|VistaCart.com|2017-05-11 15:54:22
18023802|4594.34|Regular|ShopYourWay.com|2017-05-11 15:49:37
77230843|982.75|Daily|VistaCart.com|2017-05-11 15:46:40
51172861|3857.96|Sale|VistaCart.com|2017-05-11 15:47:24
51172861|3779.22|Special|ShopYourWay.com|2017-05-11 15:44:16
51172861|4290.99|Special|MarketPlace.com|2017-05-11 15:49:03
53238866|4139.24|Sale|VistaCart.com|2017-05-11 15:37:13
53238866|4139.24|Sale|ShopYourWay.com|2017-05-11 16:04:04
14318153|3449.99|Daily|VistaCart.com|2017-05-11 15:39:52
45338037|695.55|Special|VistaCart.com|2017-05-11 16:05:53
88837774|3000.25|Special|VistaCart.com|2017-05-11 15:44:05
88837774|2970.54|Daily|ShopYourWay.com|2017-05-11 16:10:20
23830201|4253.53|Regular|VistaCart.com|2017-05-11 15:43:04
23830201|4475.07|Special|ShopYourWay.com|2017-05-11 15:44:46
23830201|4652.30|Daily|MarketPlace.com|2017-05-11 15:57:12
32017046|2924.14|Special|VistaCart.com|2017-05-11 15:53:02
32017046|3222.53|Regular|ShopYourWay.com|2017-05-11 15:40:28
32017046|2983.82|Regular|MarketPlace.com|2017-05-11 15:37:52
32017046|3222.53|Regular|RealValue|2017-05-11 15:48:31
26315476|1850.04|Regular|VistaCart.com|2017-05-11 16:08:08
